City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
170,Ponta Do Sol,PT,2021-03-21 19:52:16,32.6667,-17.1,60.8,48,40,10.36
171,Husavik,IS,2021-03-21 19:52:16,66.0449,-17.3389,46.4,57,75,21.85
172,Saint George,US,2021-03-21 19:52:16,37.1041,-113.5841,59.0,37,1,3.44
173,Mount Gambier,AU,2021-03-21 19:52:16,-37.8333,140.7667,64.4,100,90,8.05
174,High Level,CA,2021-03-21 19:52:17,58.5169,-117.136,10.4,61,75,2.3
175,Bandarbeyla,SO,2021-03-21 19:52:17,9.4942,50.8122,77.79,69,0,7.83
176,Sorong,ID,2021-03-21 19:52:17,-0.8833,131.25,80.1,82,35,7.05
177,Avera,US,2021-03-21 19:52:17,33.194,-82.5271,63.0,67,90,14.97
178,Loubomo,CG,2021-03-21 19:52:18,-4.1997,12.6739,72.77,96,99,3.47
179,Tuktoyaktuk,CA,2021-03-21 19:52:18,69.4541,-133.0374,-16.6,76,20,4.61
180,Alofi,NU,2021-03-21 19:52:18,-19.0595,-169.9187,75.2,100,75,3.44
181,Sakakah,SA,2021-03-21 19:52:18,29.9697,40.2064,77.0,14,0,4.61
182,Bayji,IQ,2021-03-21 19:52:19,34.9311,43.487,65.23,36,0,5.3
183,Martapura,ID,2021-03-21 19:52:19,-3.4167,114.85,77.0,100,75,1.01
184,Nantucket,US,2021-03-21 19:52:19,41.2835,-70.0995,46.4,81,1,4.61
185,Coquimbo,CL,2021-03-21 19:50:14,-29.9533,-71.3436,69.8,64,0,14.97
186,Kattivakkam,IN,2021-03-21 19:52:19,13.2167,80.3167,80.6,74,20,2.3
187,Mezinovskiy,RU,2021-03-21 19:52:20,55.5042,40.3593,26.46,94,100,9.75
188,Mae Ramat,TH,2021-03-21 19:52:20,16.984,98.5166,73.0,64,9,0.38
189,Shakawe,BW,2021-03-21 19:52:20,-18.3667,21.85,74.46,57,53,4.07
