City_ID,City,Lat,Lng,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp,Current Description
146,Kahului,20.8947,-156.47,83,20,8.05,US,2021-03-27 18:16:34,75.2,few clouds
147,Jasper,37.2001,-94.3502,53,1,16.11,US,2021-03-27 18:24:04,73.0,clear sky
148,Kefamenanu,-9.4467,124.4781,94,99,3.09,ID,2021-03-27 18:22:09,71.19,overcast clouds
149,Hermanus,-34.4187,19.2345,73,58,12.24,ZA,2021-03-27 18:20:59,62.01,broken clouds
150,Mezen,65.8522,44.24,92,15,7.23,RU,2021-03-27 18:24:04,26.26,few clouds
151,Butaritari,3.0707,172.7902,78,96,13.78,KI,2021-03-27 18:20:57,81.16,overcast clouds
152,Atemar,54.181,45.4091,93,100,5.53,RU,2021-03-27 18:24:04,30.49,overcast clouds
153,Esso,55.9333,158.7,93,100,5.35,RU,2021-03-27 18:22:30,12.27,overcast clouds
154,Vardo,70.3705,31.1107,94,99,24.14,NO,2021-03-27 18:21:37,37.09,overcast clouds
155,Kruisfontein,-34.0033,24.7314,70,16,3.0,ZA,2021-03-27 18:21:04,64.0,few clouds
156,Burnie,-41.0667,145.9167,83,40,11.43,AU,2021-03-27 18:24:05,54.57,scattered clouds
157,Turukhansk,65.8167,87.9833,99,100,4.23,RU,2021-03-27 18:24:05,2.08,overcast clouds
158,Shingu,33.7333,135.9833,78,100,4.52,JP,2021-03-27 18:20:59,56.89,overcast clouds
159,Khatanga,71.9667,102.5,94,100,7.38,RU,2021-03-27 18:20:49,3.02,overcast clouds
160,Kavieng,-2.5744,150.7967,79,95,14.34,PG,2021-03-27 18:18:12,81.07,moderate rain
161,Ilulissat,69.2167,-51.1,45,40,6.91,GL,2021-03-27 18:18:47,-9.4,scattered clouds
162,Pitimbu,-7.4706,-34.8086,70,20,10.36,BR,2021-03-27 18:22:55,86.0,few clouds
163,Tura,25.5198,90.2201,13,0,3.83,IN,2021-03-27 18:21:07,72.86,clear sky
164,Pisco,-13.7,-76.2167,73,0,10.36,PE,2021-03-27 18:16:43,72.0,clear sky
165,Dhidhdhoo,6.8833,73.1,76,100,11.21,MV,2021-03-27 18:18:10,83.39,overcast clouds
166,Broome,42.2506,-75.833,62,90,4.25,US,2021-03-27 18:18:09,57.0,overcast clouds
167,Abbotsford,49.058,-122.2526,71,90,11.5,CA,2021-03-27 18:23:58,51.01,overcast clouds
168,Coihaique,-45.5752,-72.0662,52,75,4.61,CL,2021-03-27 18:21:12,64.4,broken clouds
169,Severo-Kurilsk,50.6789,156.125,86,100,35.79,RU,2021-03-27 18:22:04,25.79,light snow
170,Touros,-5.1989,-35.4608,78,75,10.36,BR,2021-03-27 18:22:19,82.4,broken clouds
171,Tucumcari,35.1717,-103.725,41,1,12.66,US,2021-03-27 18:18:36,57.2,clear sky
172,Mar Del Plata,-38.0023,-57.5575,77,75,25.32,AR,2021-03-27 18:17:04,66.0,broken clouds
173,Kihei,20.785,-156.4656,83,20,8.05,US,2021-03-27 18:24:06,75.2,few clouds
174,Yellowknife,62.456,-114.3525,62,75,10.36,CA,2021-03-27 18:20:57,21.0,broken clouds
175,Maceio,-9.6658,-35.7353,94,75,3.44,BR,2021-03-27 18:18:07,75.2,mist
176,Nyrob,60.733,56.7202,96,21,5.28,RU,2021-03-27 18:24:06,16.32,few clouds
177,Bollnas,61.3482,16.3946,77,100,1.01,SE,2021-03-27 18:21:33,45.0,overcast clouds
178,Muroto,33.2833,134.15,68,100,16.98,JP,2021-03-27 18:24:06,64.62,overcast clouds
179,Basco,20.4487,121.9702,86,14,15.5,PH,2021-03-27 18:24:07,78.96,few clouds
180,Srednekolymsk,67.45,153.6833,98,83,1.81,RU,2021-03-27 18:24:07,-21.82,broken clouds
181,Show Low,34.2542,-110.0298,65,40,13.8,US,2021-03-27 18:24:07,42.8,scattered clouds
182,Tuni,17.35,82.55,77,13,2.3,IN,2021-03-27 18:19:32,77.31,few clouds
183,Mezhdurechensk,53.6942,88.0603,97,100,2.26,RU,2021-03-27 18:20:13,26.83,overcast clouds
184,San Cristobal,7.7669,-72.225,94,75,6.91,VE,2021-03-27 18:18:11,77.0,fog
185,Price,39.5994,-110.8107,42,1,9.22,US,2021-03-27 18:24:08,46.4,clear sky
186,Portland,45.5234,-122.6762,58,75,3.44,US,2021-03-27 18:20:16,53.01,broken clouds
187,Gazalkent,41.5581,69.7708,94,90,6.91,UZ,2021-03-27 18:24:08,55.4,light rain
188,Ahipara,-35.1667,173.1667,88,100,12.03,NZ,2021-03-27 18:16:44,65.8,overcast clouds
189,Xai-Xai,-25.0519,33.6442,77,0,10.71,MZ,2021-03-27 18:19:19,75.4,clear sky
190,Puerto Escondido,15.85,-97.0667,84,1,12.66,MX,2021-03-27 18:18:30,86.0,clear sky
191,Saldanha,-33.0117,17.9442,63,0,14.97,ZA,2021-03-27 18:20:46,60.8,clear sky
192,Tandil,-37.3217,-59.1332,82,100,7.0,AR,2021-03-27 18:24:08,62.01,light rain
193,Ostrovnoy,68.0531,39.5131,82,76,25.01,RU,2021-03-27 18:19:20,33.08,broken clouds
194,East London,-33.0153,27.9116,68,0,13.8,ZA,2021-03-27 18:21:07,66.2,light rain
195,Jimo,36.3897,120.4622,87,4,2.24,CN,2021-03-27 18:24:09,52.0,clear sky
196,Geraldton,-28.7667,114.6,72,3,9.22,AU,2021-03-27 18:22:27,64.4,clear sky
197,Golden,39.7555,-105.2211,45,40,10.36,US,2021-03-27 18:24:09,48.0,scattered clouds
198,Cochrane,51.1834,-114.4687,37,1,17.27,CA,2021-03-27 18:13:39,48.2,clear sky
199,Mayo,38.8876,-76.5119,63,1,11.5,US,2021-03-27 18:18:46,68.0,clear sky
200,Beringovskiy,63.05,179.3167,99,51,6.02,RU,2021-03-27 18:19:14,-13.13,broken clouds
201,Boguchany,58.3814,97.4531,98,100,3.56,RU,2021-03-27 18:24:09,21.33,overcast clouds
202,Sierra Vista,31.5545,-110.3037,40,40,6.91,US,2021-03-27 18:24:10,55.99,scattered clouds
203,Richards Bay,-28.783,32.0377,86,37,17.63,ZA,2021-03-27 18:24:10,71.51,light rain
204,Sorong,-0.8833,131.25,94,100,2.93,ID,2021-03-27 18:17:23,76.12,overcast clouds
205,Pontian Kecil,1.4801,103.3899,94,20,3.76,MY,2021-03-27 18:24:10,73.99,few clouds
206,Taltal,-25.4,-70.4833,67,10,5.26,CL,2021-03-27 18:18:43,68.7,clear sky
207,Kyabe,9.4515,18.9449,27,44,3.98,TD,2021-03-27 18:24:10,93.13,scattered clouds
208,Atasu,48.6814,71.6433,97,100,4.23,KZ,2021-03-27 18:24:11,32.34,overcast clouds
